schoolnaam,lat,lng,hoog,adres,postcode,plaats,telnr,email,website
ATO basisschool Caleidoscoop, 51.73302, 5.32970, 32.75862069, Fluitenkruid 8, 5236 TL, Empel, 0736427537, info@kccaleidoscoop.nl
ATO basisschool De Groote Wielen, 51.73502, 5.36460, 28.57142857, Deltalaan 140, 5247 JT, Rosmalen, 0738507710, info@basisschooldegrootewielen.nl
ATO basisschool De Hobbit, 51.72583, 5.37132, 50.70422535, De Hoge Kamp 9, 5247 WH, Rosmalen, 0738507720, administratie@bsdehobbit.nl
ATO basisschool De Overlaet, 51.72242, 5.36040, 53.84615385, Terpeborch 78, 5241 KB, Rosmalen, 0735215005, info@deoverlaet.nl
ATO basisschool De Springplank, 51.71198, 5.30716, 52.38095238, Hambakendreef 2A, 5231 RJ, 's-Hertogenbosch, 0736412372, school@obsdespringplank.nl
ATO basisschool De Vlieger, 51.69619, 5.34315, 36.17021277, Vincent van Goghlaan 28, 5246 GB, Hintham, 0738225100, rickyvanginkel@kcdevlieger.nl
ATO basisschool Het Rondeel, 51.69291, 5.32759, 26.08695652, Acaciasingel 77, 5213 VC, 's-Hertogenbosch, 0738511333, info@hetrondeel.nl
ATO basisschool L W Beekman, 51.68735, 5.29649,75, Van der Does de Willeboissingel 14, 5211 CC, 's-Hertogenbosch, 0736140200, info@lwbeekmanschool.nl
ATO basisschool Madelief, 51.72891, 5.30249, 20.83333333, Landstrekenlaan 118-120, 5235 LD, 's-Hertogenbosch, 0738225250, -
ATO basisschool Meander, 51.73296, 5.28396, 60, Braspenninglaan 171, 5237 NS, 's-Hertogenbosch, 0738225300, -
ATO basisschool Noorderlicht, 51.71693, 5.316238, 39.47368421, Rompert 35, 5233 EJ, 's-Hertogenbosch, 0738511399, (naam leerkracht)@bsnoorderlicht.nl
ATO basisschool 't Mozaiek, 51.69873, 5.26272, 33.33333333, Jan Olieslagersstraat 51, 5224 BD, 's-Hertogenbosch, 0738225210, -
ATO basisschool De Kruisstraat, 51.73190, 5.39628, 42.85714286, gesloten, -, -, -, -
ATO jenaplan kindcentrum De Ontdekking, 51.69348, 5.26695, 22.72727273, Rijzertlaan 242, 5223 JR, 's-Hertogenbosch, 0738507726, kcdeontdekking@kanteel.nl
ATO montessorischool De Aquamarijn, 51.68945, 5.33391, 52.63157895, Waalstraat 50, 5215 CK, 's-Hertogenbosch, 0736145372, info@aquamarijn.org
ATO montessorischool Merlijn, 51.72743, 5.29693, 56, Zilverkruid 12, 5237 HA, 's-Hertogenbosch, 0736449523, -
Basisschool Aventurijn, 51.72892, 5.30261, 42.85714286, Hengmeng 92-94, 5235 JZ, 's-Hertogenbosch, 0651908623, directie@aventurijndenbosch.nl
Basisschool de Duizendpoot, 51.71408, 5.30351, 20, Het Wielsem 1, 5231 BV, 's-Hertogenbosch, 0736450735, -
Basisschool de Haren, 51.71640, 5.32699, 17.64705882, Ploossche Hof 85, -, 's-Hertogenbosch, 0736446560, -
Basisschool De Masten, 51.70871, 5.38395 , 77.77777778, St. Jozefstraat 1, 5248 AT, Rosmalen, 0738511400, info@demasten.nl
Basisschool het Palet, 51.70908, 5.31632 , 50, Eekbrouwersweg 2, 5233 VG, 's-Hertogenbosch, 0736450754, info@bshetpalet.nl
Basisschool Imam Albogari, 51.69405, 5.29077 , 20, Churchilllaan 82, 5224 BW, ’s-Hertogenbosch, 0738511420, info@basisschoolnour.nl
Basisschool Jeroen Bosch, 51.69646, 5.34216 , 42.85714286, Vincent van Goghlaan 28, 5246 GB, Rosmalen, 0738225100, info@bsjeroenbosch.nl
